trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
13,False,"{'a': 0.3, 'e': 0.5133420832795047}",25,0,-104.62188329037147,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
14,False,"{'a': 0.3, 'e': 0.48767497911552943}",20,0,-14.884636059219256,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.3, 'e': 0.46329123015975293}",25,0,-30.406153081124884,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.3, 'e': 0.44012666865176525}",30,0,-71.23645582993393,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",1
17,False,"{'a': 0.3, 'e': 0.41812033521917696}",25,9,6.775295935488682,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.3, 'e': 0.3972143184582181}",20,0,1.7017495592099674,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
19,False,"{'a': 0.3, 'e': 0.37735360253530714}",20,0,-81.23585516713959,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
20,False,"{'a': 0.3, 'e': 0.35848592240854177}",25,0,-19.998645637557132,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
21,False,"{'a': 0.3, 'e': 0.34056162628811465}",20,0,-27.76726537462338,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
22,False,"{'a': 0.3, 'e': 0.3235335449737089}",25,0,13.130122689775881,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
23,False,"{'a': 0.3, 'e': 0.30735686772502346}",25,0,-29.668966686109073,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
24,False,"{'a': 0.3, 'e': 0.2919890243387723}",25,0,-30.18336786666878,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
25,False,"{'a': 0.3, 'e': 0.27738957312183365}",20,0,-43.71391302243434,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
26,False,"{'a': 0.3, 'e': 0.263520094465742}",25,0,22.34493887821218,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
